Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.4784		0.1760		0.0000		0.3310		0.00050000
2		0.0948		0.0533		0.0000		0.3301		0.00049820
3		0.0393		0.0310		0.0000		0.3312		0.00049640
4		0.0264		0.0238		0.0000		0.3307		0.00049460
5		0.0209		0.0189		0.0000		0.3392		0.00049279
6		0.0174		0.0162		0.0000		0.3826		0.00049099
7		0.0155		0.0145		0.0000		0.4210		0.00048919
8		0.0140		0.0124		0.0000		0.4218		0.00048738
9		0.0129		0.0128		0.0000		0.4267		0.00048558
10		0.0125		0.0127		0.0000		0.4358		0.00048377
11		0.0120		0.0105		0.0000		0.4598		0.00048196
12		0.0117		0.0110		0.0000		0.4328		0.00048016
13		0.0113		0.0105		0.0000		0.4543		0.00047835
14		0.0115		0.0112		0.0000		0.4524		0.00047654
15		0.0110		0.0102		0.0000		0.4604		0.00047473
16		0.0111		0.0101		0.0000		0.4623		0.00047292
17		0.0108		0.0108		0.0000		0.4248		0.00047111
18		0.0110		0.0105		0.0000		0.4532		0.00046929
19		0.0108		0.0111		0.0000		0.4365		0.00046748
20		0.0106		0.0097		0.0000		0.4593		0.00046567
21		0.0104		0.0098		0.0000		0.4699		0.00046385
22		0.0109		0.0099		0.0000		0.4528		0.00046204
23		0.0106		0.0109		0.0000		0.4304		0.00046022
24		0.0105		0.0102		0.0000		0.4676		0.00045840
25		0.0106		0.0100		0.0000		0.4579		0.00045658
26		0.0105		0.0096		0.0000		0.4643		0.00045477
27		0.0107		0.0102		0.0000		0.4088		0.00045295
28		0.0104		0.0091		0.0000		0.4710		0.00045113
29		0.0103		0.0092		0.0000		0.4647		0.00044931
30		0.0106		0.0103		0.0000		0.4654		0.00044748
31		0.0104		0.0094		0.0000		0.4666		0.00044566
32		0.0103		0.0112		0.0000		0.4288		0.00044384
33		0.0108		0.0094		0.0000		0.4571		0.00044201
34		0.0102		0.0093		0.0000		0.4686		0.00044019
35		0.0103		0.0092		0.0000		0.4599		0.00043836
36		0.0102		0.0097		0.0000		0.4449		0.00043653
37		0.0102		0.0092		0.0000		0.4597		0.00043471
38		0.0101		0.0099		0.0000		0.4409		0.00043288
39		0.0102		0.0132		0.0000		0.4215		0.00043105
40		0.0102		0.0097		0.0000		0.4514		0.00042922
41		0.0101		0.0093		0.0000		0.4752		0.00042739
42		0.0101		0.0109		0.0000		0.4627		0.00042555
43		0.0106		0.0118		0.0000		0.4412		0.00042372
44		0.0098		0.0091		0.0000		0.4705		0.00042189
45		0.0102		0.0105		0.0000		0.4648		0.00042005
46		0.0109		0.0093		0.0000		0.4525		0.00041822
47		0.0104		0.0095		0.0000		0.4617		0.00041638
48		0.0100		0.0088		0.0000		0.4669		0.00041454
49		0.0100		0.0096		0.0000		0.4784		0.00041271
50		0.0102		0.0089		0.0000		0.4668		0.00041087
51		0.0100		0.0102		0.0000		0.4616		0.00040903
52		0.0100		0.0094		0.0000		0.4632		0.00040718
53		0.0099		0.0092		0.0000		0.4580		0.00040534
54		0.0099		0.0090		0.0000		0.4659		0.00040350
55		0.0100		0.0094		0.0000		0.4655		0.00040166
56		0.0099		0.0089		0.0000		0.4838		0.00039981
57		0.0099		0.0090		0.0000		0.4674		0.00039797
58		0.0100		0.0087		0.0000		0.4737		0.00039612
59		0.0098		0.0084		0.0000		0.4682		0.00039427
60		0.0097		0.0087		0.0000		0.4853		0.00039242
61		0.0099		0.0087		0.0000		0.4746		0.00039057
62		0.0095		0.0087		0.0000		0.4831		0.00038872
63		0.0095		0.0085		0.0000		0.4752		0.00038687
64		0.0098		0.0085		0.0000		0.4849		0.00038502
65		0.0097		0.0086		0.0000		0.4828		0.00038316
66		0.0097		0.0092		0.0000		0.4435		0.00038131
67		0.0097		0.0087		0.0000		0.4729		0.00037945
68		0.0096		0.0087		0.0000		0.4679		0.00037760
69		0.0097		0.0084		0.0000		0.4906		0.00037574
70		0.0097		0.0088		0.0000		0.4558		0.00037388
71		0.0097		0.0084		0.0000		0.4846		0.00037202
72		0.0096		0.0086		0.0000		0.4893		0.00037016
73		0.0094		0.0086		0.0000		0.4786		0.00036830
74		0.0094		0.0084		0.0000		0.4771		0.00036644
75		0.0094		0.0081		0.0000		0.4832		0.00036457
76		0.0094		0.0090		0.0000		0.4748		0.00036271
77		0.0094		0.0090		0.0000		0.4793		0.00036084
78		0.0093		0.0091		0.0000		0.4865		0.00035898
79		0.0095		0.0108		0.0000		0.4457		0.00035711
80		0.0094		0.0086		0.0000		0.4879		0.00035524
81		0.0093		0.0082		0.0000		0.4827		0.00035337
82		0.0094		0.0083		0.0000		0.4831		0.00035150
83		0.0093		0.0084		0.0000		0.4918		0.00034962
84		0.0094		0.0091		0.0000		0.4813		0.00034775
85		0.0093		0.0085		0.0000		0.4873		0.00034588
86		0.0093		0.0079		0.0000		0.4814		0.00034400
87		0.0092		0.0081		0.0000		0.4716		0.00034212
88		0.0093		0.0083		0.0000		0.4642		0.00034025
89		0.0093		0.0083		0.0000		0.4848		0.00033837
90		0.0091		0.0088		0.0000		0.4802		0.00033649
91		0.0092		0.0087		0.0000		0.4834		0.00033460
92		0.0093		0.0086		0.0000		0.4787		0.00033272
93		0.0093		0.0086		0.0000		0.4854		0.00033084
94		0.0089		0.0088		0.0000		0.4730		0.00032895
95		0.0091		0.0081		0.0000		0.4910		0.00032707
96		0.0090		0.0083		0.0000		0.4814		0.00032518
97		0.0090		0.0080		0.0000		0.4925		0.00032329
98		0.0091		0.0086		0.0000		0.4796		0.00032140
99		0.0090		0.0079		0.0000		0.4851		0.00031951
100		0.0094		0.0081		0.0000		0.4769		0.00031762
101		0.0090		0.0084		0.0000		0.4685		0.00031572
102		0.0090		0.0084		0.0000		0.4808		0.00031383
103		0.0089		0.0082		0.0000		0.4664		0.00031193
104		0.0087		0.0079		0.0000		0.4911		0.00031003
105		0.0088		0.0080		0.0000		0.4910		0.00030814
106		0.0089		0.0087		0.0000		0.4832		0.00030624
107		0.0090		0.0077		0.0000		0.4923		0.00030433
108		0.0089		0.0080		0.0000		0.4822		0.00030243
109		0.0088		0.0077		0.0000		0.5014		0.00030053
110		0.0088		0.0085		0.0000		0.4796		0.00029862
111		0.0089		0.0077		0.0000		0.4970		0.00029671
112		0.0087		0.0079		0.0000		0.4813		0.00029481
113		0.0091		0.0089		0.0000		0.4799		0.00029290
114		0.0086		0.0080		0.0000		0.4800		0.00029099
115		0.0089		0.0078		0.0000		0.4952		0.00028907
116		0.0088		0.0084		0.0000		0.4780		0.00028716
117		0.0087		0.0077		0.0000		0.4949		0.00028525
118		0.0087		0.0082		0.0000		0.4795		0.00028333
119		0.0088		0.0076		0.0000		0.4906		0.00028141
120		0.0086		0.0080		0.0000		0.4951		0.00027949
121		0.0085		0.0078		0.0000		0.4924		0.00027757
122		0.0087		0.0083		0.0000		0.4851		0.00027565
123		0.0087		0.0076		0.0000		0.4980		0.00027372
124		0.0086		0.0079		0.0000		0.4858		0.00027180
125		0.0086		0.0077		0.0000		0.4945		0.00026987
126		0.0085		0.0077		0.0000		0.4989		0.00026794
127		0.0087		0.0074		0.0000		0.5051		0.00026601
128		0.0085		0.0078		0.0000		0.4938		0.00026408
129		0.0086		0.0075		0.0000		0.5089		0.00026215
130		0.0084		0.0073		0.0000		0.5068		0.00026021
131		0.0084		0.0075		0.0000		0.4894		0.00025828
132		0.0085		0.0078		0.0000		0.4845		0.00025634
133		0.0083		0.0073		0.0000		0.4876		0.00025440
134		0.0084		0.0076		0.0000		0.4879		0.00025246
135		0.0085		0.0075		0.0000		0.5002		0.00025052
136		0.0086		0.0072		0.0000		0.5055		0.00024857
137		0.0083		0.0073		0.0000		0.5030		0.00024663
138		0.0083		0.0076		0.0000		0.4987		0.00024468
139		0.0082		0.0073		0.0000		0.5048		0.00024273
140		0.0083		0.0072		0.0000		0.5022		0.00024078
141		0.0082		0.0074		0.0000		0.5074		0.00023882
142		0.0082		0.0075		0.0000		0.4969		0.00023687
143		0.0082		0.0079		0.0000		0.4914		0.00023491
144		0.0081		0.0072		0.0000		0.5124		0.00023295
145		0.0080		0.0073		0.0000		0.5056		0.00023099
146		0.0082		0.0071		0.0000		0.5050		0.00022903
147		0.0082		0.0075		0.0000		0.5069		0.00022707
148		0.0080		0.0075		0.0000		0.4989		0.00022510
149		0.0080		0.0074		0.0000		0.5144		0.00022313
150		0.0082		0.0074		0.0000		0.5008		0.00022116
151		0.0079		0.0067		0.0000		0.5204		0.00021919
152		0.0081		0.0073		0.0000		0.4943		0.00021722
153		0.0082		0.0071		0.0000		0.5022		0.00021524
154		0.0080		0.0072		0.0000		0.5128		0.00021326
155		0.0083		0.0070		0.0000		0.5174		0.00021128
156		0.0079		0.0070		0.0000		0.5031		0.00020930
157		0.0078		0.0072		0.0000		0.4965		0.00020732
158		0.0078		0.0069		0.0000		0.5102		0.00020533
159		0.0080		0.0070		0.0000		0.5099		0.00020334
160		0.0079		0.0067		0.0000		0.5174		0.00020135
161		0.0078		0.0067		0.0000		0.5186		0.00019936
162		0.0077		0.0067		0.0000		0.5169		0.00019737
163		0.0078		0.0067		0.0000		0.5187		0.00019537
164		0.0078		0.0068		0.0000		0.5236		0.00019337
165		0.0079		0.0066		0.0000		0.5118		0.00019137
166		0.0080		0.0080		0.0000		0.4978		0.00018937
167		0.0078		0.0066		0.0000		0.5179		0.00018736
168		0.0077		0.0066		0.0000		0.5195		0.00018535
169		0.0077		0.0065		0.0000		0.5134		0.00018334
170		0.0077		0.0068		0.0000		0.5157		0.00018133
171		0.0076		0.0064		0.0000		0.5255		0.00017931
172		0.0076		0.0069		0.0000		0.5101		0.00017729
173		0.0076		0.0067		0.0000		0.5160		0.00017527
174		0.0076		0.0065		0.0000		0.5182		0.00017325
175		0.0076		0.0065		0.0000		0.5193		0.00017122
176		0.0076		0.0065		0.0000		0.5182		0.00016919
177		0.0075		0.0067		0.0000		0.5180		0.00016716
