Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.0709		0.0259		0.0000		0.3480		0.00050000
2		0.0229		0.0210		0.0000		0.3636		0.00049820
3		0.0191		0.0175		0.0000		0.3863		0.00049640
4		0.0173		0.0170		0.0000		0.3949		0.00049460
5		0.0168		0.0170		0.0000		0.4039		0.00049279
6		0.0158		0.0153		0.0000		0.4054		0.00049099
7		0.0151		0.0150		0.0000		0.3895		0.00048919
8		0.0146		0.0143		0.0000		0.4227		0.00048738
9		0.0144		0.0142		0.0000		0.4065		0.00048558
10		0.0144		0.0136		0.0000		0.4071		0.00048377
11		0.0141		0.0135		0.0000		0.4039		0.00048196
12		0.0138		0.0128		0.0000		0.3976		0.00048016
13		0.0134		0.0139		0.0000		0.4053		0.00047835
14		0.0133		0.0131		0.0000		0.4315		0.00047654
15		0.0134		0.0123		0.0000		0.4168		0.00047473
16		0.0132		0.0129		0.0000		0.3695		0.00047292
17		0.0131		0.0122		0.0000		0.4159		0.00047111
18		0.0130		0.0122		0.0000		0.4262		0.00046929
19		0.0127		0.0127		0.0000		0.4307		0.00046748
20		0.0130		0.0117		0.0000		0.4259		0.00046567
21		0.0128		0.0129		0.0000		0.4241		0.00046385
22		0.0127		0.0130		0.0000		0.4104		0.00046204
23		0.0127		0.0119		0.0000		0.4238		0.00046022
24		0.0126		0.0130		0.0000		0.3980		0.00045840
25		0.0124		0.0121		0.0000		0.4240		0.00045658
26		0.0127		0.0125		0.0000		0.4263		0.00045477
27		0.0123		0.0122		0.0000		0.4183		0.00045295
28		0.0125		0.0129		0.0000		0.4126		0.00045113
29		0.0123		0.0130		0.0000		0.4143		0.00044931
30		0.0126		0.0125		0.0000		0.4224		0.00044748
31		0.0125		0.0124		0.0000		0.4198		0.00044566
32		0.0122		0.0118		0.0000		0.4076		0.00044384
33		0.0123		0.0128		0.0000		0.3767		0.00044201
34		0.0123		0.0132		0.0000		0.3930		0.00044019
35		0.0124		0.0128		0.0000		0.4184		0.00043836
36		0.0123		0.0133		0.0000		0.4134		0.00043653
37		0.0122		0.0117		0.0000		0.4264		0.00043471
38		0.0121		0.0114		0.0000		0.4150		0.00043288
39		0.0124		0.0116		0.0000		0.4154		0.00043105
40		0.0121		0.0116		0.0000		0.4317		0.00042922
41		0.0121		0.0135		0.0000		0.3985		0.00042739
42		0.0120		0.0113		0.0000		0.4208		0.00042555
43		0.0120		0.0120		0.0000		0.4209		0.00042372
44		0.0119		0.0115		0.0000		0.4165		0.00042189
45		0.0118		0.0114		0.0000		0.4358		0.00042005
46		0.0120		0.0116		0.0000		0.4388		0.00041822
47		0.0121		0.0142		0.0000		0.3935		0.00041638
48		0.0120		0.0134		0.0000		0.4183		0.00041454
49		0.0117		0.0112		0.0000		0.4354		0.00041271
50		0.0118		0.0114		0.0000		0.4188		0.00041087
51		0.0116		0.0110		0.0000		0.4426		0.00040903
52		0.0117		0.0114		0.0000		0.4411		0.00040718
53		0.0117		0.0115		0.0000		0.4209		0.00040534
54		0.0119		0.0110		0.0000		0.4312		0.00040350
55		0.0116		0.0111		0.0000		0.4207		0.00040166
56		0.0116		0.0116		0.0000		0.4202		0.00039981
57		0.0116		0.0110		0.0000		0.4498		0.00039797
58		0.0116		0.0138		0.0000		0.4210		0.00039612
59		0.0115		0.0111		0.0000		0.4395		0.00039427
60		0.0114		0.0110		0.0000		0.4303		0.00039242
61		0.0116		0.0107		0.0000		0.4501		0.00039057
62		0.0113		0.0114		0.0000		0.4224		0.00038872
63		0.0116		0.0111		0.0000		0.4253		0.00038687
64		0.0114		0.0109		0.0000		0.4238		0.00038502
65		0.0114		0.0109		0.0000		0.4519		0.00038316
66		0.0113		0.0101		0.0000		0.4458		0.00038131
67		0.0113		0.0101		0.0000		0.4438		0.00037945
68		0.0111		0.0109		0.0000		0.4339		0.00037760
69		0.0113		0.0109		0.0000		0.4403		0.00037574
70		0.0111		0.0102		0.0000		0.4403		0.00037388
71		0.0112		0.0114		0.0000		0.4176		0.00037202
72		0.0111		0.0098		0.0000		0.4600		0.00037016
73		0.0110		0.0104		0.0000		0.4369		0.00036830
74		0.0110		0.0118		0.0000		0.4352		0.00036644
75		0.0112		0.0107		0.0000		0.4307		0.00036457
76		0.0111		0.0099		0.0000		0.4431		0.00036271
77		0.0108		0.0100		0.0000		0.4354		0.00036084
78		0.0107		0.0099		0.0000		0.4593		0.00035898
79		0.0110		0.0100		0.0000		0.4308		0.00035711
80		0.0110		0.0104		0.0000		0.4565		0.00035524
81		0.0109		0.0099		0.0000		0.4505		0.00035337
82		0.0108		0.0112		0.0000		0.4336		0.00035150
83		0.0108		0.0107		0.0000		0.4427		0.00034962
84		0.0110		0.0101		0.0000		0.4570		0.00034775
85		0.0107		0.0105		0.0000		0.4484		0.00034588
86		0.0108		0.0110		0.0000		0.4450		0.00034400
87		0.0108		0.0112		0.0000		0.4409		0.00034212
88		0.0107		0.0101		0.0000		0.4469		0.00034025
89		0.0106		0.0097		0.0000		0.4467		0.00033837
90		0.0109		0.0128		0.0000		0.3966		0.00033649
91		0.0106		0.0099		0.0000		0.4570		0.00033460
92		0.0105		0.0094		0.0000		0.4627		0.00033272
93		0.0106		0.0098		0.0000		0.4569		0.00033084
94		0.0104		0.0096		0.0000		0.4712		0.00032895
95		0.0105		0.0100		0.0000		0.4590		0.00032707
96		0.0106		0.0100		0.0000		0.4553		0.00032518
97		0.0104		0.0095		0.0000		0.4549		0.00032329
98		0.0104		0.0096		0.0000		0.4615		0.00032140
